text,label
Can you please explain the topping up transfer process?,65
Waiting for the cash I deposited this morning still,6
I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?,5
My payment shows that it is pending will I be charged more money?,48
Why should I verify the top-up?,71
Please tell me about disposable cards.,37
I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?,75
Why do you need to perform identity verification?,74
What are the steps needed to top up with Apple Pay?,2
I want to change the wrong exchange rate.,17
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,8
Help! My account doesn't show any funds. Is transferring funds an option I can use?,65
How long does it take to make an urgent transfer from China?,67
Shouldn't my new card be here by now?,11
Why hasn't a transaction I did to my friend arrived yet?,66
I could not get my card to work at a shop.,25
Where can the cards be delivered?,43
How long does it take to recieve my new card?,11
Would it be possible to open up an account for children?,1
Why am I not allowed to add a certain beneficiary?,7
My new card hasn't came in.,11
How do I replace a stolen card?,41
Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal.,76
Can I get an actual card,43
How do I get a new card as your machine swallowed mine!,18
What are the restrictions on the virtual cards?,29
After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?,45
"I keep trying to make a payment, but it doesn't work.",25
Is it possible to have a second card?,39
How can I verify my top-up card?,71
What do the disposable cards do?,37
Is there something wrong with my ATM Card?  Tried using it earlier and it did not work.,26
If i want to change my pin number can I directly from an ATM?,21
where can I get the info for my funds,70
I would like to track the card you sent to me.,11
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,48
Need help with a stolen card.,41
What is the expected delivery date for my card?,11
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",75
"After a transfer, I see an extra fee.  Why?",64
My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money,20
Is ordering a new card from China available?,9
My card hasn't came in the mail yet?,11
I topped up my account but the app failed to process it.,59
I made a check and cash deposit that wasn't credited to my account.,6
My statement shows different transaction times.,63
where to i get my funds from?,70
Are there any ATM's near me that accept this card?,3
How can I close my account?,55
"I am not sure how this will work, but I have not received a product I ordered.  I want a refund, but should I just cancel the payment?",52
Where can I order a card when I am in China?,9
What factors effect the exchange rate?,32
Do you have the best exchange rate?,32
I'm trying to purchase a flat but i need my first payment for my mortgage to go through first. I keep getting an error. I'm not sure what is going on but i need help making this transfer.,35
How can my account have money transferred into it?,65
"Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.",51
My account seems a bit off and getting weird charges.,63
My card stopped working after multiple transactions. Why?,14
I asked for cash but I did not receive all the funds,75
How can I check if I have received a refund if it is not yet on my statement?,51
"the product is not working, can I get a refund?",52
If I want to can I set up a new PIN?,21
"I tried to add a topup to my account but the money isn't there, anymore. Did I do something wrong?",61
"There must have been a mistake, why was I charged an extra pound?",34
I ordered a virtual card but it hasn't come through yet,40
How long will my transfer be pending?,48
Why is there a fee added to my statement?,34
how soon will my card arrive?,12
Why was my card declined in a shop?,25
What cards do you offer?,73
I would like to get help from someone in your customer service department with assisting me with activating my card.,0
"Hi, would you please activate my card?",0
What do I do if I think someone has used my card?,22
How do I input a new address?,30
How to receive virtual card?,40
Top up did not work on the app.,59
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,26
How does identity check work?,74
Is there something wrong with the ATM? It would not let me pull cash out of my account.,26
I found my card again. Can I put it back into the app?,13
How do I get this damn virtual card to work?,72
My account balance has not updated since I deposited a cheque recently.,6
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,17
Tell me if there is a limit to top-up.,60
I believe you charged me too much to exchange my money,17
I'd like to have extra cards. Will I have to pay for that?,39
What do you use to figure out the exchange rate for the card?,32
Why is there a €1 charge on my statement?,34
Do you have any options to top up with a cheque on my account?,58
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,20
Since when were there charges for taking out cash from my account? It's always been free for me to do this before.  How much are the charges going to be?,19
Why hasn't the app verified my identity?,68
Where are the cards delivered to,43
"Given a choice, I'd rather have Mastercard.",73
Is there a way to lookup where funds came from?,70
Why is the exchange rate so high? This should have been a much higher amount of cash for that to apply.,76
please cancel the transaction,8
I just realised I made the wrong payment yesterday. Can you please change it to the right account? It's my rent payment and really really needs to be in the right account by tomorrow,8
Can you explain why I was charged extra when I used the card?,15
I need help finding the verification code on the top up card.,71
Why was I charged this extra fee while doing a transfer?,64
I wish to remove my account.,55
How do I transfer cash my into my account?,65
What do I need in regards to identification?,69
Can I receive money in a different countries money?,50
How can I unblock my PIN?,49
I am quite aggravated that I ordered online almost a month ago and I never got my package and I paid for it. I would really appreciate it if I could get a full refund back now.,52
"I'm interested in holding and exchange for flat currencies, what do you support?",36
An incorrect exchange rate was applied to an item I bought.,17
Can anyone else top-up for me?,62
How come the money from the merchant appeared back into my account?,53
How can I switch on my new card?,0
Why was I charged an extra fee when doing a transfer?,64
Can I transfer using SWIFT?,56
Why was there an extra charge when I transferred money?,64
Why is there a payment showing twice?,63
Why did the funds for one of my purchase come back to my account?,53
I would really like a physical card.,43
How come I have pending transfers?,48
Is there a reason my new card hasn't arrived yet?,11
I see non-received cash in my app.,20
I just found out from the seller that my money didn't go through. I checked my account and it was deducted at first but now it's back in my account. Can you  please fix this for me quickly?,53
What is the youngest age for an account?,1
I did a cash deposit to my account but it doesn't show up,6
"I did a cash deposit to my account, but I am not seeing it on my statement.",6
Do I have to use bank approved ATM's,3
I'd like to apply for a Visa Card.,73
How do I get my money back for a duplicated charge?,63
What do I need to do to get my new card which I have requested 2 weeks ago?,11
Is there a limit for top ups?,60
"Hi, I am experiencing problems while trying to top-up with my card. I have never experienced any problems doing this before. Could you please help me?",59
How can I exchange currencies with this app?,33
I topped up my account but the money isn't there now.,62
Why isn't my card working? I was pumped to use my new card but it keeps getting declined. Help please.,25
Why hasn't my balance been updated from the check deposit I made?,6
I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?,27
Is there a problem with the payment that I see is still pending?,45
I can't get google pay to work right.,2
My card payment's cancelled,53
Do you have a children account available?,1
"Can I change my pin at ATMs?  If so, what ones?",21
If I don't have much money in the account can I auto top-up?,4
There is a direct debit transaction that I did not authorize,28
"I just bought an item and would like to stop payment, is this possible?  The item has not been received yet.",52
Can I possibly change my currency to another?,33
Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.,47
What do I do if I can't get my card out of the ATM?,18
The ATM is messed up. It gave me less than I wanted.,75
are there any exchange fees,31
Why was my cash withdrawal cancelled at the ATM?,26
My card is almost expired.  How fast will I get a new one and what is the cost?,9
How long before I can see that my cash withdrawal has taken place?,46
Is my account able to be topped up by my friends?,62
Is a physical card also available,43
Where are the cards transported to?,43
I was declined when I tried to take out cash!,26
How do I replace a card that's going to expire?,9
"Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do??",75
Can you tell me why I haven't received my new card yet?,11
Is the verification number on the top up card,71
I wanted to withdraw $100 from the ATM but I only got $20,75
i have yet to get my pin,38
Your service is bad.  Close my account.,55
There is a cash withdrawl I don't remember.,20
What ATMs can I use this card at?,3
I didn't get a PIN yet. What gives?,38
I cannot find my refund on my statement.,51
I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?,8
When will my transfer move from pending to confirmed?,48
why do I have an unknown payment?,16
"I know there's money in my account, why did my account decline me?",25
I have kids and I'm curious at what age could they start to use your service.,1
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",63
I punched in the wrong pin too many times and I'm locked out.,49
Why was I charged a fee for withdrawing money?,19
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,41
"My phone got stolen, how can I use the app?",42
What are the steps for the identity checks?,69
"I was charged twice for a restaurant, can you take the second charge off?",63
When can I expect the transfer to arrive in my account?,67
Why hasn't the transaction I did to my friend arrived yet?,66
Is it possible for me to track the card is was mailed to me?,11
My passcode was denied.,44
I attempted to get cash in the ATM but it was not authorized,26
Can I have a card even if I am not living in the UK?,24
My account is showing a double charge.,63
I made a check deposit but the cash hasn't arrived in my account yet.,6
I received a returned payment that I made.,53
I was not able to receive the correct amount of cash.,75
What is the fee for a foreign currency exchange?,31
I don't know where a direct debit payment came from,28
There is an extra small charge on my card! What do I do?,34
What businesses can I use this card with?,10
Why has my top up been returned?,61
Are there any places that won't take my card?,10
How do I use a cheque to top up?,58
Is it simple to transfer money using my credit card?,62
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,8
How much is a physical card?,43
My salary is deposited in GBP. Do I need to choose the currency?,50
The cast deposit from a week ago still is not in my account. Why?,6
Will you be able to exchange to EUR?,36
Are there fees for adding money with an International card?,57
I think somebody made an unauthorized copy of my card.  My account has a cash withdrawal for 500£ that I did not make.  Please help.,20
How do I add cash to my account?,58
I'm interested in getting a virtual card.  How do I get one?,40
Can I set it up to add money every few days automatically while I am traveling?,4
I have transfered to my account before but it is being declined now?,27
Will the card be a Mastercard or a Visa?,73
what is the fee for topping up by card?,57
I received duplicate charges.,63
This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,26
"It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take?",48
In my account I noticed my ATM withdrawal is still pending,46
There is unusual activity on my account and I believe someone took my card.,22
would a visa or mastercard be more suited to me?,73
How do I receive a disposable virtual card?,37
The bank charged me fees for withdrawing cash!,19
I don't think the exchange rate was right.,76
Is it possible for a transaction to be cancelled?,8
I am unsuccessfully trying to make a transfer can you help?,35
How do I make my PIN work again?,49
What are the age requirements for service?,1
I didn't make this payment and it's on my app,16
A transfer was not allowed to an account.,7
Do I have to go to an actual bank to change my PIN?,21
How much would I be charged for a transfer?,56
How do I query a payment on my card? It looks like I have paid for the same thing twice.,63
When do you charge fees on accounts? I just saw a charge on my statement.,15
what are your exchange rates at?,32
At what ATM can I change my PIN?,21
What is the fee for topping up a US card?,57
Why is my transfer pending?,48
What's the limit on total number of cards I can have?,39
I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?,72
Tell me why my card payment would be reverted.,53
What do I do to verify my source of funds?,70
My card arrived but I don't know how to get my PIN.,38
The cheque I deposited isn't showing in my account,6
Why won't you accept my payment? I keep trying with this card and it's not working.,25
is there a frequent currency discount?,31
"I need to delete my account, please.",55
I want a backup second card. Is this possible?,39
"Using Google Pay, can I top up?",2
How many active transactions can I make with a disposable card?,29
"If there isn't a lot of money left, will it automatically top-up money?",4
What is the status of my top up?,61
It looks like a payment I've made hasn't made it through yet.,45
Is it possible to do auto top up?,4
I have lost my card! What is my next step?,41
Can you give me a virtual card?,40
I didn't cancel my card payment.,53
A fee came along with me paying with card,15
i asked for 100 only got 80,75
"Transfers can take up to one day to process before departing for the beneficiary accounts. Please confirm that you've entered your account details correctly. SEPA transfers can take up to two working days, while SWIFT transfers can take up to five working days.",48
How do I close my account?,55
How do I complete the ID check?,69
How can I receive my salary in another currency?,50
I got a new address and need to change my old one.,30
I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,53
Can I use your app to exchange between USD and GBP,33
Purchases I did not make are appearing in my bank statement?,28
I do not recognize the card payment.,16
Can I change my PIN at any ATM?,21
Why is there a random payment in my statement?,16
Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?,16
"Hey there, I just went through my most recent credit card payments and I notice the same charge for a restaurant was processed twice. There was only one meal at this place, so I would like one of the charges to be reversed and my money to be put back in the account.",63
Where can I find the top up verification code?,71
I just checked my account on the App and there is a payment on there that I did not make.,16
"Do you hold money and if so, what currencies do you accept?",36
Can I use this app to exchange currencies?,33
"If I bought something I didn't like, can I get a refund?",52
"I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",48
What are ways to test why my card might not be working?,14
What countries can I use the card in?,24
Can cash be used in physical locations to top up?,58
It's been a week since I ordered my card and it's not here. Please help?,11
Can you tell me why my card payment did not work?,25
how much for topping up by card?,57
How can I exchange to EUR?,36
You operate in which countries?,24
"I tried to withdraw cash and got declined, why is that?",26
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,7
Where can I find a Mastercard ATM?,3
Do I get Visa or Mastercard?,73
"I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?",61
How do you find the exchange rate?,32
If I can't choose my card type will I be able to use it everywhere?,73
there is a transfer pending.,48
Can I get some help activating my new card?,0
My PIN tries have run out. Now what?,49
I haven't received the cash from the check I deposited.,6
"I want to top up my account by a bank transfer, but will I be charged?",56
How do I get my card into the app?,13
What should I do once my card expires?,9
I really need some help to understand why my transfer keeps failing. I'm trying to send money to a friend. Please help.,35
My app says that I'm not verified.,68
Why was the price higher when I paid with my card?,15
During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,64
Where can I see where my funds came from?,70
Why didn't I receive the right amount of cash at the ATM?,75
"I want to top up by using a credit card, which ones do you support?",54
Can I add to my account using a cheque?,58
I was checking my statement and I think one of my card payments has reverted,53
Why is the exchange rate different from what I expected?,17
beneficiary transfer problems?,7
Whats the maximum disposable virtual cards?,29
what is the exchange rate when i get cash,76
What am i missing to verify my id?,68
Is the exchange rate the same on weekends as the weekdays?,32
I have been charged twice for the same thing!,63
Can this app exchange American and English currency?,33
is apple pay a top up service?,2
Can I use it outside of Europe?,24
Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before.,15
How can I reset the passcode if I need to do that?,44
How do I go about cancelling a transaction?,8
I see a strange payment in my account.,16
There is the same transaction showing more than once.,63
I'm still waiting on my identity verification.,68
I am seeing inside the App a some cash withdrawal that is not mine,20
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,34
I would like to top up my account automatically. How do I do that?,4
i have been trying to top up my account with a check but it won't work,58
I am having trouble activating my card.,0
how do I speed up identity verification?,74
How long do I need to wait to see an update after I make a bank transfer?,5
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",17
Is the fee with my cash withdrawal a mistake?,19
Can this app take my salary?,50
Why isn't my id verifying?,68
I placed a cash deposit in my account but I can't see it yet.,6
"I have not received my card and it's been a week, what do I do?",11
Please tell me how you can stop unauthorized payments from being made on my card since on this bill I see that this has happened. There are transactions that I never made from a place I've never been to.,22
"I am not supposed to be charged a cash withdrawal fee, but I was.",19
What are you exchange rates?,32
My card hasn't shown up yet.,11
Where is the transfer that I did?,5
I don't recognize the direct debit payment from the app.,28
I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer?,35
"How long do transfers take, mine just says pending?",48
Why are my withdrawals suddenly being declined?,26
"The past few times I've been to the ATM, I was charged a withdrawal fee. Have your policies changed regarding fees?",19
why top up is not working even if I got my American Express in Apple Bay?,2
The ATM didn't give me what I asked for but my balance says it did,75
What's the reason for needing to verify my identity?,74
It seems that the rate I got is incorrect.,17
"After reviewing my charges, I see I was charged a fee for a transfer I did, why?",64
How can I find your exchange rates?,32
Can this card be used at all ATMs?,3
how can i get it to add money automatically while travelling,4
I left my phone somewhere and can't use the app.,42
I have a disposable card but it does not work?,72
I had a payment reverted and would like to figure out why.,53
Can I use as many top-ups as I want?,60
Why was my ATM withdrawal cancelled?,26
I'm in China and need a new card. Please help.,9
What should I do if my physical card isn't working?,14
Can I track my card while it is in the process of delivery?,11
"My card was used without my permission, what do I do?",22
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",35
"I have received my statement but I do not see my refund, why is that?",51
Why are my transfers getting declined?,27
I have a transfer that is pending.,48
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",34
"My new card isn't in my app, how do I get it in there?",13
What are the guidelines for the disposable cards?,29
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",34
I didn't set up a direct debit payment on my account.,28
I've been charged an extra £1 and I don't know why,34
Are top-ups allowed using Apple Pay?,2
Can I pay with my card anywhere?,10
I just looked over my statement and I don't recognize the name of a card payment.,16
How much do I have to pay if I want to transfer money?,64
Where can I find an ATM?,3
"After I got my cash, I found out my exchange rate was wrong.",76
How can I change my old pin to a new one?,21
May I get an account for my daughter?,1
I sent a transfer to a friend that needs it urgently. It has already been 2 hours and still hasn't come through to her. How long does it normally take?,66
Can you tell me more info about virtual disposable cards?,37
Can you please advise if there is something wrong with my card? I have had multiple rejections and do not know the reason. Thanks!,25
There is a direct debit fee in the App that I didn't do.,28
I checked on google and the exchange rate you are using is really bad. Can you update it?,17
I bought something that I need a refund for.,52
I would like to alter my personal details.,30
I was expecting my new card by now.,11
I have duplicated transactions on my statement,63
My card is about to expire.  How do I order another?,9
I just received my card and I'd like to activate it.,0
How long will my payment be pending?,45
I tried to do a transfer and it hasn't worked!,35
Seems like my top-up has failed,59
Where did my money come from?,70
I made a cash withdrawal at an ATM but it still says pending in my account.,46
Will my other US credit card be accepted?,54
I am still waiting for a money transfer to process.,48
How much is the charge for a foreign currency exchange?,31
I have no idea why but my transfers keep getting declined. I have double checked all the recipient details several times already and they're definitely correct.,27
The card PIN?,38
I bought an item that I was charged a different exchange rate for.,17
Can i get money in my home currency at my ATM ?I am on holiday and bit concerned because i do not have any cash with me .Is it possible to withdraw without any additional cost.,76
Where can I find the verification code for a top-up?,71
I would like to exchange currency  What types are there?,33
"I've just made a money transfer to the wrong account, I need to stop the money from being moved as it may be going to someone I don't know.  Please can you help?",8
I paid with my card and was charged extra,15
Why is your exchange rate different on different days?,32
How long do transfers take? I sent money to a friend who needs it urgently. It's been hours and has not gone through.,66
How can I receive a virtual card?,40
How many days does a regular transaction take to complete?  I see a pending payment that hasn't changed in the last several days.,45
I don't see any change in my balance.,5
What is necessary for the identity verification?,69
Can someone help with my passcode?,44
Where do you mail physical cards?,43
A refund for a recent return has not arrived on my card.,51
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,34
I was overcharged a pound.,34
I need my refund as soon as possible. What else do I have to do?,51
I made a cash withdrawl and there is a charge.  What is this?,19
How can I sign up for a virtual card?,40
Is there a list of where I can use my card?,10
exchanging currencies costs what?,31
I need more than one disposable card,29
How can I transfer money into my account?,65
What fees are there for adding money using an international card,57
Will I be charged for adding money using an international card?,57
Is there a number to call to get my pin unblocked?,49
What currencies and methods can i use to top up my account?,54
An extra fee has been added to my card payment is this correct?,15
With what currencies can I add money?,54
Why is my deposit still pending?,6
Where can I find the auto-top option?,4
There's a payment in the app I don't recognize.,16
There was a charge made on my card from a couple weeks ago and I don't remember making the purchase. Nor do I remember the company itself. Can we trace this at all to confirm if I did it or not?,28
Can I transfer money to my account with the app?,65
I'd like to get another card,39
Show me how to look at the source of my current funds?,70
I'm wanting to get a Visa card today.,73
Can I change my PIN in Austria?,21
How can I locate the virtual card?,40
"If I want to add funds to the account using American Express, how do I do that?",54
I deposited cash into my account and I'm having trouble seeing it on my account.,6
Is it possible to get both Visa and Mastercard from you?,73
Won't let me top my card up!! Who can get it sorted out for me? It's urgent! How do I find out what the problem is with my card and how else to top it up?,59
"I've got a weird problem: I purchased something a week or maybe it was two weeks ago, and the funds have come back into my account! Can you explain this?",53
What are the restrictions on auto top-up?,4
Can I use app to unblock my card?,49
Is a tracking number available for the card that was just sent?,11
"My PIN has been blocked, what should I do?",49
My phone has been stolen.  How can I make sure no one uses my account from it?,42
"Can you send me a Mastercard, instead of a Visa?",73
Is there a way to verify a card top-up?,71
Transfer isn't working?,35
I'd prefer a Mastercard.,73
I entered a typo when I was transferring money and now I've sent it to an incorrect account.  This is so bad!  I need it cancelled now.,8
Why did I get declined when trying to get cash?,26
How can I receive money from my friend?,50
I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account?,64
Why doesn't the person I sent money to see that transfer yet?,66
There is a repeat charge for the same item,63
The wrong exchange rate was used for my cash withdrawal,76
Send me my card now! ASAP,12
How long until transfers from Europe go through?,67
I made a card payment but it didn't work. Why not?,25
I have not received an item i ordered yet so i want to cancel it and get a refund. Can you please guide me on how to go about it?,52
Why would a transfer to a beneficiary not go through?,7
Is there extra fees for making a withdraw in a different country at a cash machine.,76
I have a payment I didnt make on my account,16
Why can't I see the top up I made?,62
I was getting cash and the card got stuck inside,18
"I want to deposit funds, what payments are accepted?",54
"I have been waiting for my transfer, shouldn't it be here already?",67
How do I go about transferring money using my credit card?,62
How simple is it to transfer money into my account?,65
My order needs to be canceled.,52
I am still waiting on my card?,11
Why would a merchant revert a card payment?,53
I didn't receive the correct exchange rate for an item that I bought.,17
How does the exchange rate work?,32
Why am I being a charged for using my card?,15
How can I change my name because I just got married?,30
Where can i find the virtual card?,40
"I tried to top-up, why didn't it work?",59
My currency rate is inaccurate.,17
Where's my virtual card,40
How can receive a physical card,43
I see a direct debit that isn't mine? How can I get my money back?,28
Why has my top up been cancelled,61
"left my phone at hotel, cant use app",42
I have a payment which has not been approved.,45
Can the card was sen to me be tracked?,11
I placed my order a week ago. Is it ok that my card isn't here yet?,12
How do I use a check to top up?,58
The cash I asked for still hasn't been received,75
Is auto top up available?,4
How long do transfers take to go though,5
Are there any reasons that my identity wouldn't be accepted even though everything I've provided is factual?,68
I recently transferred money to my account when will it show up?,5
My transfer was declined. Why did this happen?,27
Why did I get charged one pound seemingly randomly?,34
Why can't I transfer money to a beneficiery?,7
Is there a way I can have a mastercard?,73
Why is there an extra charge on my statement.,34
Please explain the extra fee when I paid with the card.,15
Help me cancel a transaction.,8
I cannot remember my passcode.,44
I am having a problem with verifying my identity.,68
Please tell me which fiat currencies you support.,36
When I exchanged currencies the value of my money changed.,76
Why would a cash withdrawal be pending?,46
